start_location_x,start_location_y,cluster_label
121.348,31.389,3
121.508,31.279,2
121.383,31.254,3
121.484,31.32,5
121.407,31.292,0
121.488,31.224,1
121.445,31.176,1
121.529,31.324,2
121.467,31.32,5
121.514,31.307,2
121.385,31.166,4
121.419,31.292,0
121.551,31.279,2
121.528,31.309,2
121.413,31.358,5
121.59,31.243,2
121.483,31.278,2
121.442,31.264,0
121.437,31.294,0
121.466,31.185,1
121.384,31.188,4
121.388,31.268,3
121.432,31.18,4
121.513,31.302,2
121.382,31.246,3
121.364,31.248,3
121.506,31.329,5
121.464,31.193,1
121.533,31.318,2
121.506,31.148,1
121.403,31.163,4
121.308,31.244,3
121.47,31.226,1
121.411,31.274,0
121.476,31.27,0
121.5,31.302,2
121.504,31.305,2
121.459,31.297,5
121.401,31.14,4
121.437,31.16,4
121.477,31.267,0
121.436,31.328,5
121.431,31.265,0
121.434,31.201,1
121.353,31.17,4
121.27,31.167,3
121.478,31.289,5
121.447,31.319,5
121.59,31.279,2
121.52,31.269,2
121.319,31.129,4
121.386,31.315,3
121.507,31.316,2
121.453,31.335,5
121.526,31.331,2
121.445,31.154,4
121.368,31.19,4
121.547,31.288,2
121.532,31.316,2
121.507,31.3,2
121.523,31.279,2
121.606,31.11,1
121.441,31.214,1
121.483,31.237,1
121.44,31.195,1
121.366,31.251,3
121.486,31.347,5
121.512,31.206,1
121.484,31.214,1
121.382,31.245,3
121.609,31.279,2
121.48,31.269,0
121.46,31.231,1
121.481,31.335,5
121.429,31.349,5
121.495,31.269,2
121.38,31.323,3
121.431,31.277,0
121.354,31.226,3
121.428,31.158,4
121.468,31.206,1
121.529,31.195,1
121.366,31.22,3
121.483,31.202,1
121.543,31.215,1
121.458,31.279,0
121.49,31.277,2
121.463,31.22,1
121.44,31.242,0
121.42,31.2,4
121.44,31.229,0
121.367,31.237,3
121.5,31.27,2
121.364,31.239,3
121.481,31.303,5
121.449,31.224,0
121.36,31.209,3
121.322,31.282,3
121.51,31.293,2
121.311,31.239,3
121.381,31.243,3
121.51,31.317,2
121.5,31.28,2
121.465,31.198,1
121.377,31.256,3
121.441,31.297,5
121.457,31.247,0
121.48,31.311,5
121.412,31.2,4
121.367,31.237,3
121.438,31.183,4
121.49,31.277,2
121.402,31.263,0
121.482,31.301,5
121.411,31.289,0
121.489,31.255,2
121.549,31.277,2
121.352,31.172,4
121.515,31.291,2
121.515,31.302,2
121.302,31.27,3
121.361,31.349,3
121.538,31.271,2
121.485,31.306,5
121.509,31.289,2
121.516,31.147,1
121.37,31.112,4
121.495,31.213,1
121.474,31.222,1
121.416,31.263,0
121.377,31.218,3
121.506,31.329,5
121.489,31.264,2
121.32,31.29,3
121.436,31.193,1
121.393,31.195,4
121.429,31.198,4
121.506,31.321,2
121.444,31.214,1
121.431,31.253,0
121.525,31.286,2
121.44,31.287,0
121.477,31.256,0
121.5,31.335,5
121.435,31.163,4
121.39,31.269,3
121.402,31.08,4
121.455,31.153,4
121.518,31.287,2
121.451,31.274,0
121.552,31.224,2
121.422,31.204,4
121.43,31.275,0
121.413,31.196,4
121.43,31.266,0
121.479,31.233,1
121.449,31.23,0
121.367,31.139,4
121.396,31.156,4
121.492,31.271,2
121.387,31.109,4
121.453,31.238,0
121.452,31.23,0
121.485,31.306,5
121.416,31.175,4
121.541,31.299,2
121.422,31.279,0
121.495,31.26,2
121.523,31.302,2
121.384,31.319,3
121.445,31.224,0
121.485,31.202,1
121.426,31.224,0
121.434,31.201,1
121.426,31.351,5
121.431,31.332,5
121.47,31.306,5
121.541,31.283,2
121.474,31.211,1
121.498,31.347,5
121.366,31.237,3
121.393,31.228,3
121.375,31.247,3
121.536,31.333,2
121.461,31.202,1
121.476,31.252,0
121.506,31.293,2
121.413,31.299,0
121.513,31.307,2
121.491,31.229,1
121.485,31.319,5
121.434,31.191,4
121.538,31.32,2
121.331,31.184,4
121.534,31.261,2
121.422,31.264,0
121.442,31.224,0
121.471,31.292,5
121.334,31.262,3
121.458,31.265,0
121.484,31.239,1
121.52,31.274,2
121.553,31.28,2
121.422,31.201,4
121.459,31.333,5
121.473,31.273,0
121.391,31.243,3
121.514,31.298,2
121.532,31.304,2
121.507,31.302,2
121.456,31.271,0
121.38,31.24,3
121.522,31.26,2
121.441,31.193,1
121.538,31.245,2
121.447,31.197,1
121.529,31.296,2
121.544,31.274,2
121.467,31.303,5
121.403,31.13,4
121.501,31.294,2
121.443,31.262,0
121.535,31.285,2
121.587,31.265,2
121.496,31.21,1
121.531,31.324,2
121.385,31.21,4
121.481,31.197,1
121.536,31.276,2
121.413,31.302,0
121.367,31.238,3
121.423,31.172,4
121.394,31.087,4
121.481,31.338,5
121.513,31.303,2
121.55,31.271,2
121.531,31.275,2
121.411,31.231,0
121.503,31.285,2
121.389,31.276,3
121.428,31.195,4
121.493,31.268,2
121.533,31.33,2
121.476,31.337,5
121.484,31.272,2
121.431,31.265,0
121.474,31.32,5
121.451,31.329,5
121.44,31.314,5
121.529,31.231,2
121.462,31.265,0
121.452,31.276,0
121.447,31.224,0
121.529,31.274,2
121.507,31.329,5
121.486,31.32,5
121.375,31.254,3
121.485,31.239,1
121.334,31.268,3
121.54,31.284,2
121.396,31.258,0
121.449,31.307,5
121.514,31.249,2
121.453,31.34,5
121.43,31.229,0
121.47,31.224,1
121.539,31.279,2
121.436,31.221,0
121.333,31.246,3
121.442,31.307,5
121.49,31.23,1
121.472,31.207,1
121.411,31.273,0
121.416,31.175,4
121.517,31.185,1
121.442,31.252,0
121.431,31.151,4
121.531,31.319,2
121.47,31.294,5
121.324,31.296,3
121.512,31.302,2
121.523,31.18,1
121.437,31.313,5
121.308,31.238,3
121.449,31.313,5
121.469,31.324,5
121.482,31.202,1
121.503,31.25,2
121.449,31.21,1
121.458,31.155,1
121.509,31.307,2
121.388,31.276,3
121.541,31.318,2
121.507,31.29,2
121.415,31.219,0
121.428,31.256,0
121.349,31.185,4
121.364,31.26,3
121.443,31.28,0
121.466,31.332,5
121.438,31.164,4
121.408,31.129,4
121.534,31.289,2
121.513,31.303,2
121.482,31.236,1
121.504,31.283,2
121.478,31.271,0
121.512,31.259,2
121.597,31.257,2
121.465,31.185,1
121.357,31.184,4
121.402,31.241,0
121.357,31.347,3
121.466,31.238,0
121.385,31.237,3
121.534,31.291,2
121.443,31.337,5
121.514,31.307,2
121.521,31.199,1
121.366,31.258,3
121.516,31.283,2
121.474,31.171,1
121.504,31.304,2
121.427,31.278,0
121.48,31.34,5
121.467,31.33,5
121.435,31.153,4
121.349,31.209,3
121.466,31.204,1
121.457,31.118,4
121.456,31.256,0
121.459,31.333,5
121.486,31.302,5
121.543,31.274,2
121.428,31.252,0
121.493,31.315,5
121.449,31.252,0
121.324,31.296,3
121.44,31.196,1
121.473,31.26,0
121.463,31.168,1
121.452,31.26,0
121.488,31.314,5
121.431,31.29,0
121.391,31.269,3
121.482,31.203,1
121.54,31.266,2
121.406,31.207,4
121.463,31.181,1
121.472,31.318,5
121.388,31.131,4
121.452,31.183,1
121.541,31.328,2
121.386,31.214,3
121.498,31.216,1
121.377,31.318,3
121.538,31.324,2
121.441,31.256,0
121.405,31.135,4
121.475,31.194,1
121.513,31.303,2
121.397,31.256,0
121.444,31.321,5
121.386,31.252,3
121.444,31.217,1
121.392,31.22,3
121.538,31.151,1
121.509,31.289,2
121.423,31.276,0
121.491,31.263,2
121.532,31.199,1
121.529,31.175,1
121.488,31.314,5
121.331,31.265,3
121.428,31.244,0
121.45,31.344,5
121.385,31.134,4
121.344,31.28,3
121.355,31.352,3
121.407,31.316,5
121.542,31.292,2
121.308,31.207,3
121.436,31.193,1
121.486,31.21,1
121.456,31.184,1
121.626,31.279,2
121.466,31.2,1
121.456,31.247,0
121.419,31.203,4
121.483,31.338,5
121.49,31.286,2
121.49,31.313,5
121.421,31.196,4
121.446,31.338,5
121.384,31.26,3
121.501,31.274,2
121.536,31.306,2
121.524,31.262,2
121.532,31.296,2
121.483,31.237,1
121.474,31.208,1
121.579,31.278,2
121.45,31.255,0
121.519,31.328,2
121.365,31.176,4
121.537,31.235,2
121.41,31.273,0
121.54,31.291,2
121.32,31.24,3
121.362,31.244,3
121.419,31.292,0
121.392,31.14,4
121.491,31.288,2
121.463,31.229,1
121.366,31.256,3
121.353,31.244,3
121.536,31.212,1
121.451,31.208,1
121.476,31.299,5
121.387,31.32,3
121.481,31.268,0
121.353,31.22,3
121.531,31.321,2
121.45,31.364,5
121.537,31.331,2
121.503,31.293,2
121.49,31.259,2
121.373,31.262,3
121.419,31.253,0
121.486,31.272,2
121.412,31.231,0
121.47,31.197,1
121.321,31.289,3
121.311,31.201,3
121.41,31.214,0
121.322,31.298,3
121.44,31.33,5
121.432,31.136,4
121.361,31.234,3
121.627,31.28,2
121.522,31.284,2
121.473,31.193,1
121.436,31.339,5
121.532,31.311,2
121.515,31.298,2
121.421,31.262,0
121.463,31.181,1
121.441,31.153,4
